fid,cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,redmet_diurno_Ta_mean_day,redmet_diurno_Ta_p90_day,redmet_diurno_Humidex_mean_day,redmet_nocturno_Ta_min_night,redmet_nocturno_Humidex_mean_night
1,AJM,Ajusco Medio,-99.20774,19.27216,2548,,4.8409E+11,19.17736409,22.6,19.55718654,6.2,14.71897091
2,AJU,Ajusco,-99.16261,19.15429,2942,,4.8409E+11,15.52139701,18.8,16.4660001,2.9,10.22777331
3,CUA,Cuajimalpa,-99.29171,19.36531,2704,,4.8409E+11,18.01515099,21.7,18.58666022,9.2,13.6425493
4,GAM,Gustavo A. Madero,-99.09452,19.4827,2227,,4.8409E+11,22.32681576,25.7,24.14714895,12.9,19.14661064
5,HGM,Hospital General de Mï¿½xico,-99.15221,19.41162,2234,,4.8409E+11,21.55506329,24.9,21.92389125,12.8,17.36116504
6,LAA,Lab. de Analisis Ambiental,-99.14731,19.48378,2255,,4.8409E+11,21.91789034,26.1,23.0207344,8.5,17.77601109
7,MER,Merced,-99.11959,19.42461,2245,,4.8409E+11,22.09534069,25.7,23.16330155,12.2,18.61407832
8,MGH,Mguel Hidalgo,-99.20266,19.40405,2327,,4.8409E+11,21.78451668,25.3,22.20069695,12.1,17.75346122
9,MPA,Milpa Alta,-98.99019,19.1769,2594,,4.8409E+11,18.4376509,22.4,19.2919989,7.4,13.21691915
10,PED,Pedregal,-99.20414,19.32515,2326,,4.8409E+11,21.01299819,24.7,21.72954958,9.2,16.44160233
11,SAC,Santiago Acahualtepec,-99.00938,19.34561,2293,,4.848E+11,22.07528329,27.49,21.90774533,8.1,13.73863158
12,SFE,Santa fe,-99.26287,19.35736,2599,,4.8409E+11,18.74321143,21.8,19.81403356,9.4,14.46557251
13,SUR,Santa Ursula,-99.14999,19.31448,2279,,4.8409E+11,21.28564516,25.1,22.65818896,12.4,17.87998311
14,TAH,Tlahuac,-99.01056,19.24646,2297,,4.8409E+11,21.47046227,25.2,22.49192876,10.5,16.55614059
15,TPN,Tlalpan,-99.18418,19.25704,2522,,4.8409E+11,20.24179104,24.8,21.31724248,8.3,13.70765567
16,UAX,UAM Xochimilco,-99.10363,19.30444,2246,,4.8409E+11,21.22251683,24.8,22.0820935,11,17.18853131
17,UIZ,UAM Iztapalapa,-99.07388,19.36079,2221,,4.8409E+11,22.12422009,25.9,23.38259655,12.2,18.92625089